Name,Position,College,Conference,Height,Weight,Age,40-Yard,Vertical,Bench,Broad Jump,3-Cone,20 Y Shuttle,Throwing Velocity (mph),Std. Throwing Score
Jordan Wilkins,RB,Ole Miss,SEC,6-1,216,24,4.51,36,16,117,7.02,4.27,N/A,N/A
Darius Phillips,CB,Western Michigan,MAC,5-10,190,23,4.54,35.5,15,121,6.85,4.2,N/A,N/A
Mike White,QB,Western Kentucky,C-USA,6-5,224,23,5.09,27,N/A,96,7.4,4.4,56,0.71
JK Scott,P,Alabama,SEC,6-6,208,22,4.83,30.5,10,114,7.28,4.41,N/A,N/A
Johnny Townsend,P,Florida,SEC,6-1,210,23,4.83,32.5,8,108,7.21,4.38,N/A,N/A
Marquez Valdes-Scantling,WR,South Florida,AAC,6-4,206,23,4.37,30.5,15,124,6.79,4.15,N/A,N/A
Damion Ratley,WR,Texas A&M,SEC,190,6-2,23,4.5,35.5,12,126,6.88,4.21,N/A,N/A
John Kelly,RB,Tennessee,SEC,5-9,204,21,4.63,36.5,13,122,6.87,4.18,N/A,N/A
Duke Ejiofor,DE,Wake Forest,ACC,6-4,264,23,4.72,35,22,122,7.06,4.28,N/A,N/A
Christian Sam,ILB,Arizona State,PAC 12,6-2,244,22,4.75,32,28,114,7.03,4.25,N/A,N/A
Parry Nickerson,CB,Tulane,AAC,6-0,180,23,4.32,36,15,120,6.73,4.08,N/A,N/A
Folorunso Fatukasi,DT,Connecticut,AAC,6-4,318,23,5.29,30,33,112,7.44,4.53,N/A,N/A
Kylie Fitts,DE,Utah,PAC 12,6-4,263,23,4.69,32.5,31,117,6.88,4.19,N/A,N/A
Christian Campbell,CB,Penn State,Big 10,6-1,194,22,4.51,34,14,118,6.88,4.22,N/A,N/A
Sam Jones,G,Arizona State,PAC 12,6-5,305,22,5.32,27,28,101,7.92,4.86,N/A,N/A
Marcell Harris,S,Florida,SEC,6-0,208,24,4.98,34,16,120,6.89,4.2,N/A,N/A
