Name,Position,College,Conference,Height,Weight,Age,40-Yard,Vertical,Bench,Broad Jump,3-Cone,20 Y Shuttle,Throwing Velocity (mph),Std. Throwing Score
Rashaan Gaulden,CB,Tennessee,SEC,6-1,193,23,4.61,30,8,119,7.16,4.33,N/A,N/A
Mark Andrews,TE,Oklahoma,BIG 12,6-5,256,23,4.67,31,17,113,7.34,4.38,N/A,N/A
Arden Key,DE,LSU,SEC,6-6,238,22,4.74,31,14,117,7.16,4.25,N/A,N/A
Oren Burks,ILB,Vanderbilt,SEC,6-3,233,23,4.59,39.5,18,131,6.82,4.15,N/A,N/A
Joseph Noteboom,T,TCU,BIG 12,6-5,309,23,4.96,24,27,102,7.65,4.44,N/A,N/A
Deadrin Senat,DT,South Florida,AAC,6-0,314,24,5.16,26,35,100,7.77,4.79,N/A,N/A
Tre'Quan Smith,WR,UCF,AAC,6-2,203,22,4.49,37.5,12,130,6.97,4.5,N/A,N/A
Chukwuma Okorafor,T,Western Michigan,MAC,6-6,320,21,5.31,23.5,19,102,7.87,4.8,N/A,N/A
Ronnie Harrison,S,Alabama,SEC,6-3,214,21,4.56,34,16,120,7.08,4.28,N/A,N/A
Alex Cappa,T,Humboldt State,GNAC,6-6,305,23,5.39,26.5,24,97,8.04,4.84,N/A,N/A
Tarvarius Moore,S,Southern Miss,C-USA,6-2,205,22,4.29,38.5,11,131,6.52,3.98,N/A,N/A
Harrison Phillips,DT,Stanford,ACC,6-4,307,22,5.21,32,42,103,7.28,4.5,N/A,N/A
Mason Cole,C,Michigan,Big 10,6-4,307,22,5.23,23.5,23,104,7.77,4.78,N/A,N/A
Jordan Akins,TE,UCF,AAC,6-3,249,26,4.69,35,15,120,7.12,4.31,N/A,N/A
Isaac Yiadom,CB,Boston College,ACC,6-0,190,22,4.5,34.5,10,120,6.9,4.22,N/A,N/A
Dorian O'Daniel,OLB,Clemson,ACC,6-1,223,24,4.61,32,21,119,6.64,4.07,N/A,N/A
Ian Thomas,TE,Indiana,Big 10,6-4,259,22,4.74,36,16,123,7.15,4.2,N/A,N/A
Jalyn Holmes,DE,Ohio State,Big 10,6-5,283,22,4.82,32,25,112,7.38,4.52,N/A,N/A
Keke Coutee,WR,Texas Tech,BIG 12,5-10,181,21,4.43,34.5,14,113,6.93,4.15,N/A,N/A
Nyheim Hines,RB,NC State,ACC,5-8,198,21,4.38,35.5,12,119,7.18,4.35,N/A,N/A
Antonio Callaway,WR,Florida,SEC,5-11,200,21,4.41,34,10,121,6.78,4.11,N/A,N/A
Josey Jewell,ILB,Iowa,Big 10,6-1,234,23,4.82,33,18,117,6.8,4.27,N/A,N/A
Chris Herndon,TE,Miami (FL),ACC,6-4,253,22,4.77,33,21,116,7.25,4.46,N/A,N/A
Kyle Lauletta,QB,Richmond,CAA,6-3,222,23,4.81,31,N/A,113,6.95,4.07,55,0.73
Troy Apke,S,Penn State,Big 10,6-2,202,23,4.34,41,16,131,6.56,4.03,N/A,N/A
Nick Nelson,CB,Wisconsin,Big 10,5-11,208,21,4.52,34,17,123,6.9,4.2,N/A,N/A
Brian Allen,C,Michigan State,Big 10,6-1,298,22,5.34,26.5,27,99,7.81,4.71,N/A,N/A
Mark Walton,RB,Miami (FL),ACC,5-10,202,21,4.6,31.5,18,118,6.96,4.24,N/A,N/A
DaeSean Hamilton,WR,Penn State,Big 10,6-1,203,23,4.64,34.5,10,118,6.84,4.15,N/A,N/A
Da'Shawn Hand,DE,Alabama,SEC,6-4,297,22,4.83,31.5,28,111,7.98,4.62,N/A,N/A
